"","Ca","Mg","K","Na","Fl","SO4","Cl","NO3","TH","pH","EC","TDS","WQI"
"1",76,30,1.3,7.4,0.3,4,11.2,0.02,313,7.01,57.7,460,35.9915047058823
"2",60,40,1,15,0.2,4,16,0.45,315,7.21,65,524,37.5504549019608
"3",60,62,3.5,35,0.4,29,33,0.7,405,7.89,85.7,652,49.3842215686275
"4",24.6,16.9,2.2,22.5,0.2,2.7,5.7,1.8,131,8.39,31,180,24.3234537254902
"5",45.8,30.8,2.6,6.7,0.1,0.3,5.5,2,241,8.13,53,336,30.3888098039216
"6",64.6,35.4,0.8,3.2,0,0.8,4.4,3.7,306.78,7.15,59,358,30.7984211764706
"7",35.5,38.9,0,3.3,0,2.1,5.8,4.3,249,7.71,61,362,29.7815070588235
"8",81.5,34.6,2.98,21.2,0.17,11.4,11.5,5.14,346,8.04,63,416,38.6589725490196
"9",99.8,33.3,0.4,12.2,0.29,12,19,7.01,358,7.74,79,553,44.288737254902
"10",77,33,3.2,23,0.2,3,16.3,5.6,328,7.22,65.5,488,39.4022560784314
"11",22,8,2.2,24,0.4,15,21,6.5,87.9,7.6,29.6,216,26.8574274509804
"12",79,36,1.4,15.9,0.1,2,17,6.8,345,7.41,70.5,480,38.6061450980392
"13",84,43,1.1,16,0.2,4,25,7,387,7.28,72.4,365,37.5552431372549
"14",90,35,3.1,8.5,0.3,5,12,8.6,369,7.38,64.7,410,39.8121882352941
"15",63,40.4,3.6,24.3,0.1,5.1,31.6,10.2,323.35,7.8,68,446,39.5282709803922
"16",77.3,49.2,1.88,7.32,0,7.73,13.87,10.23,395,8.11,422.5,426,43.2407581176471
"17",90,33,1.6,42,0.4,28,44,11.2,361,7.56,77.2,555,47.936862745098
"18",51.2,32.2,2.7,22.8,0.1,8.1,23.7,12.7,260.18,8.59,53,382,37.0866439215686
"19",75.6,37.2,4.2,44.8,0.5,3.3,22.4,14,341.63,7.36,72,474,46.1164525490196
"20",84.6,31.5,2.3,17.1,0.3,2.8,13.5,16.5,340.64,7.04,69,462,42.3644882352941
"21",46.3,28.3,3.7,22.6,0.1,11.3,24.5,18.3,231.92,8.47,55,386,38.1321098039216
"22",52.8,33.5,3.4,26.2,0.1,13.6,25.5,18.4,269.52,8.57,62,432,40.9749215686275
"23",70.5,45,4.1,26.1,0.1,17.1,55.5,24.1,360.98,8.53,75,562,49.7236568627451
"24",43.4,30.8,1.2,4.1,0.1,1.4,7.8,5.3,235,8.39,56,364,31.8704403921569
"25",99,35.9,0.32,14.4,0.22,5.52,30.5,8.37,380,7.86,56,528,43.4539780392157
"26",59.8,21.7,0.99,9.31,0.2,5.23,9.88,1.05,244,7.94,52,282,29.2468867843137
"27",17.7,8.2,2.6,14.1,0.1,3.3,6.5,7.8,78,7.6,26,124,20.5801274509804
"28",12.6,6,2.5,15.6,0.1,0.7,2.5,4.3,56.12,7.7,21,108,18.4638392156863
"29",12.2,6.3,2.5,11.7,0.1,0.9,3.7,6.6,57,7.41,20,90,18.0662850980392
"30",14,6.1,2.8,13.6,0.1,0.7,2.5,4.7,60,7.59,21,102,18.3744862745098
"31",12,6.4,2.8,11.8,0,0,5,8.9,56,7.69,19,156,20.0357647058824
"32",17.9,9.9,2,18.7,0.1,4.2,10.5,6.4,86,7.85,27,178,22.3870568627451
"33",18.6,8.9,1.8,19.6,0.1,1.4,14.6,15.3,83,7.11,28,246,25.7136298039216
"34",23,11.4,2.8,22.3,0.1,5.9,18.9,7.3,104,7.47,30,206,24.0661721568627
"35",10,5,3.2,11,0,0,5,4.5,45.52,7.4,17,136,17.5824705882353
"36",35.2,15.8,2,25.9,0.1,31.6,13,8.4,153,6.99,36,284,28.2767156862745
"37",14,5,3,133,0.4,165,80,0.06,56,7.45,69,443,41.5153098039216
"38",7.4,8.3,0.5,4.2,0.1,1.3,1.5,0.06,53,7.91,11,76,15.3986039215686
"39",5.5,3,1,5.5,0.1,1,5.1,0.02,26,5.65,7.67,62,11.4596880392157
"40",21,15.7,2.5,14.6,0.3,13,10.4,0.02,117,6.75,25,220,23.3803741176471
"41",46,13.2,1.5,8,0.3,13,7.3,0.02,169,6.7,30.2,267,25.8071482352941
"42",39.3,43.6,1.63,22.1,0.17,8.26,2.15,0.07,317,7.9,61,356,32.5517160784314
"43",29.2,22.8,4.5,11.9,0.1,48.5,2,0.1,166.63,7.21,50,352,29.1018215686275
"44",45,44,11.6,19,0.1,15.8,0,0.1,293.25,7.6,64.2,446,37.1630274509804
"45",40,57,7,10,0.2,5,5,0.1,336,8,58,374,35.8236078431373
"46",31.5,32.8,0.6,7.8,0.2,9.6,3.5,0.1,214,7.29,50,338,28.6653843137255
"47",76,16.4,3.6,13.2,0.1,110.2,1.4,0.1,257.07,7.17,54,468,37.2426368627451
"48",2.3,3.3,0.5,2.6,0.1,0.7,1.6,0.2,20,7.16,5,12,11.5099356862745
"49",5.7,5.8,1.1,3.5,0.1,4.5,5.2,0.3,38.08,6.5,7.25,112,14.4405880392157
"50",310,27,5.5,231,1.5,1048,86,0.4,885,7.15,185,2110,160.885141176471
"51",47,6.9,3.4,12.9,0.3,4,5,0.4,146,7.3,45.6,195,24.5311588235294
"52",10.5,20,0.8,4.5,0.1,0.2,2.1,0.4,109,6.7,20.4,278,21.3971415686275
"53",29,24,0.1,8.3,0.2,66,5.1,0.4,171,5.95,37.4,262,25.3256866666667
"54",28.9,29.2,1.79,16.8,0,29.1,8.71,0.49,192,7.36,43,254,25.3533578823529
"55",72.6,13.4,3,107,0.6,64.5,18.8,0.5,237,7.29,86,530,46.3446776470588
"56",45.2,35.4,1.1,27.2,0.4,8.2,6.3,0.5,258.37,7.41,54,328,32.9531050980392
"57",83.9,37.3,1.6,21.6,0.2,13.6,8.7,0.5,362.75,7.21,67,430,37.2340949019608
"58",14.1,12.9,1.2,15,0.1,1.2,3.4,0.6,88,6.48,22,140,17.3790956862745
"59",21.8,6.56,1.57,9.33,0.1,11,4.81,0.64,81.5,7.17,18,118,17.6647788627451
"60",23,25,1.6,8.3,0.1,5.2,26,0.7,160.21,7.5,28.4,226,23.5571156862745
"61",37.7,47.4,1.2,29.9,0.5,6.8,6.8,0.7,289.02,8.04,61,386,37.4032325490196
"62",31.7,39.7,0.5,2.5,0.1,2.3,4.2,0.9,242.38,7.86,56,346,29.3238380392157
"63",56.2,31.9,0,1.6,1,4.87,5.64,0.97,272,8.01,46,24,29.7735636862745
"64",45,25.5,0,1.6,0,4.33,4.47,0.99,217,7.94,37,190,23.2087781176471
"65",15,16,3.2,30,0.1,20,0,1,103,6.47,36.6,250,22.9388745098039
"66",13.8,13.3,2.1,15.9,0.1,7,0,1,89,6.5,27,220,20.2605980392157
"67",31.1,33.5,0.7,6.6,0,6.3,3.3,1,216,7.33,51,330,26.7980423529412
"68",8.7,7.8,1.9,5.6,0.1,0.2,5.2,1,54,6.5,12.4,142,16.1615380392157
"69",63.4,41.2,0.5,3.4,0.1,0.9,5.5,1,327.64,8.25,53,384,33.6110039215686
"70",18,11.3,1.3,10.6,0.1,2.1,6.1,1.1,91,6.72,22,158,18.3415239215686
"71",4,85,3.6,7,0.1,2,4,1.1,359.58,8.59,64.2,455,37.6518039215686
"72",82,71,1.3,35,0.4,6,11.3,1.2,497,7.8,100.2,612,49.7122109803922
"73",78.2,59.6,2.3,48.4,0.2,81.6,77.3,1.2,440.24,8.26,89,686,52.8802384313726
"74",239,173,20,174,0.5,1400,57,1.3,1309,7.03,261,2692,193.32371372549
"75",1.6,96.6,0.7,4.8,0.1,1,4.6,1.3,401.31,7.38,63,400,34.9374415686274
"76",41,23.2,0,1.2,0,3.02,3.66,1.39,198,8.04,36,186,22.6595778823529
"77",48,26,0,5,0,0,12,1.4,0,7.7,42.3,0,18.1414058823529
"78",18.8,9.21,1.53,13.1,0,2.66,6.74,1.42,89.8,7.48,23,148,18.221728
"79",64.8,39.4,0.5,2.6,0.1,0.8,5.1,1.5,323.73,7.53,60,428,33.9803592156863
"80",84,69,2.6,10.5,0.2,9,12.6,1.8,494,6.94,87.5,618,46.1879631372549
"81",58,38.2,0.6,2.9,0.2,6.7,5.5,1.8,302,8.6,52.4,338,33.3343784313726
"82",45,23,0,5,0,0,11,1.8,0,7.7,38.1,0,17.5960058823529
"83",70.4,41.3,0.5,2.7,0.1,1.8,4.8,1.9,345.51,7.9,59,488,36.951322745098
"84",90.2,61.9,3.1,57.7,0.2,108.5,79.3,2,479.64,7.24,107,696,55.0537384313725
"85",47.7,29.7,0,1.9,0,3.1,4.6,2,241,8.25,32,270,26.7708905882353
"86",13.8,13.6,1.1,11.7,0.2,4,3,2.1,90,8.33,22.8,164,21.7845666666667
"87",56.9,41.1,1.5,5,0.1,0.6,4.7,2.1,311,8.37,54,346,32.7921380392157
"88",121,14.3,1.9,27,0.8,326,13.2,2.2,52,7.74,79.2,626,60.816177254902
"89",13,133,0.7,5.8,0.1,5.7,23.6,2.2,579.46,7.86,81,508,44.7302180392157
"90",6,4.7,0,16.1,0.2,5,13.3,2.4,34,6.6,11.79,34,14.2489931372549
"91",97.7,69.1,2.1,40.3,0.2,36,43.3,2.5,527.97,7.74,101,680,52.889597254902
"92",9.6,10.9,1.8,9.5,0.1,1,0,2.5,69,6.52,19.7,140,17.1951803921569
"93",2.3,139,0.8,5.9,0.1,3.5,7.6,2.5,577.45,7.77,86,546,45.4562474509804
"94",39.6,28.3,0,1.7,0,1.6,3.7,2.5,215,8.33,36,240,25.33234
"95",52,30,0,7,0,0,16,2.7,0,8.2,46.9,0,20.1378647058823
"96",35.7,38.7,0.5,2.5,0.1,3.7,3.7,2.9,248.24,8.11,54,374,31.2113674509804
"97",80,45,3.5,12.4,0.2,3,24,2.9,385,6.95,73.3,448,38.6268843137255
"98",36.3,17.1,1.5,8.5,0.1,3.2,3.3,3.3,161,7.11,32,240,23.9897698039216
"99",42,23,0,5,0,0,10,4.2,0,7.7,38.4,0,18.0201058823529
"100",80,72,0.2,15.5,0.4,4,13.9,4.9,496,6.94,83.7,622,48.5023898039216
"101",36.5,36.3,0.5,2.1,0.1,1.4,3.9,5.2,240.37,8.28,55,398,32.4404074509804
"102",56,58,5,15,0.3,5,4,5.3,380,7.45,69,440,40.5839764705882
"103",37,59,0.9,66,0.1,72,18.4,5.4,335,8.05,94.1,1076,59.9151603921569
"104",96,71,1.8,30,0.4,26,16.9,6.1,532,7.58,102.9,708,55.2799250980392
"105",56,31,0,6,0,0,18,6.3,0,7.7,51,0,20.9613058823529
"106",109,102,1.8,8.6,0,46.6,20.9,6.57,585,7.58,119,760,57.8534917647059
"107",69,42,1,8.7,0.2,2,7,7.7,345,7,62.8,432,37.2161901960784
"108",26,17.4,1,6.7,0.3,1,15,8.8,136,6.77,25.5,212,25.1631764705882
"109",57,43,0.5,16.9,0.1,9,13.3,11.5,319,7.45,69.3,496,39.5052698039216
"110",78.7,75.4,1.5,51.2,0.4,36.3,4.26,15.7,506.48,6.99,100,702,57.2361276862745
"111",57,42,2.2,38,0.2,24,34,16,315,6.5,78.3,472,41.892531372549
"112",41,31,0,38,0.3,7,7.9,24,230,7.51,50.9,616,46.0832035294118
"113",27,101,1.9,47,0.7,14,15,25,483,7.44,98,680,60.793568627451
"114",36,22,6.8,13.7,0.1,19,27,27.7,180,6.77,70,405,38.3454098039216
"115",33,21,3.2,0,0.2,44,8.8,0,169,6.7,34.2,276,26.1960149019608
"116",10,5,3.2,11,0,0,5,4.5,45.52,7.4,17,136,17.5824705882353
"117",35.2,15.8,2,25.9,0.1,31.6,13,8.4,153,6.99,36,284,28.2767156862745
"118",22,12.1,1.4,44,0.2,7,31,19.2,105,6.7,42.3,392,33.4817549019608
"119",49,29,3,91,0,31,74,0.02,242,7.5,63.5,411,36.0457823529412
"120",60,31,0,1.26,0.7,43,91,41,278,6.95,120.5,900,64.5908509803922
"121",44,23,4.1,95,0.7,19,57,0.1,332,7.3,81.5,504,43.8812921568627
"122",76,38,2.9,45,0.8,7,27,0.9,346,7.65,73,564,48.1440666666667
"123",81,38,2.2,37,0.1,8,78,0.3,359,7.5,81.2,530,40.8570156862745
"124",67,47,5.3,43,0.2,9,16.2,0.8,361,7.32,88.7,400,38.4867478431373
"125",62,50,2.1,74,0.2,34,2.1,1.6,381,7.44,124.3,824,52.3767219607843
"126",69,52,3.4,90,0.2,23,88,6,386,7.3,113.5,864,56.8618254901961
"127",92,54,3.6,82,0.2,12,1,13.6,452,7.05,104.6,768,56.3019960784314
"128",1,57,1.5,70,0.4,23,1.17,29.1,484,7.35,11.2,828,55.9404020392157
"129",1.49,90,3.7,4.51,1.4,3.81,6.82,0.02,742,6.66,272,2312,101.672164196078
"130",80,42,4.1,18,0.4,3.8,20,0.4,0,6.95,82.1,512,41.7067509803922
"131",0,0,0,0,0.5,0,0,5.3,0,7.5,62.5,422,28.3600490196078
"132",30,23,5.8,1.28,0.3,53,1.94,0.02,170,7.55,91.1,600,38.8696162352941
"133",46.3,35.6,0.71,1.47,1.36,44.9,99.3,19.7,262,7.91,100,646,58.4922139215686
"134",70.4,54,6.86,73,0.15,38,81.9,1.02,376,7.84,91,554,47.6657623529412
"135",89.2,40.4,4,49.6,0.1,34.7,63.5,0.8,388.72,7.25,88,570,44.5746862745098
"136",60.7,44.9,9.44,91.3,0.21,45.9,76.3,0.96,401,7.74,90,566,48.2109305882353
"137",79.1,56.3,0,72.8,0.18,31,99.8,0.3,446,7.85,94,572,47.5045835294118
"138",73.5,69,1.23,49.4,0.16,34.74,1.54,0.3,467,7.98,0,666,48.4413001568627
"139",84.9,64.7,4.07,32.5,0.23,23.5,17.1,0.36,478,8,82,512,45.8649278431373
"140",35,20,2,40,0.3,4,45,13.6,170,7.2,43.4,362,34.6790470588235
"141",39,19,2.7,47,0.61,25,12,0.2,176,7.45,54.6,412,36.7015098039216
"142",37,24,1.4,52,0.4,13,16.8,40,191,7,53.7,482,47.2390168627451
"143",40,30,2.5,40,0.4,24,54,20,223,6.79,64.3,472,42.6894921568627
"144",44,31.9,6,1.05,0.4,41,64.3,0.9,240.98,7.39,83,576,41.599272745098
"145",23,45,6.9,1.5,0.3,54,52,1.1,245,7.35,101.6,678,44.1722647058824
"146",67,21,4.9,37,0.31,25,18,0.02,254,6.9,67.9,464,37.3888450980392
"147",36,43,7.8,1.51,0.3,49,57,0.4,267,7.35,100.9,682,44.9920147058824
"148",47.3,37.2,0.84,89.9,1.91,34.2,17.5,0.54,271,8.15,80,520,57.8272254901961
"149",58.5,33.1,4.1,57.5,0.1,9.2,74.3,1,282.1,7.75,77,496,39.3872050980392
"150",63,31,3.3,80,0.42,60,65,0.7,285,7.43,92.9,604,47.6181941176471
"151",67,30,6.2,53,0.6,25,75,0.02,290,7.55,74.6,580,47.0217882352941
"152",89.7,22.5,2.24,16.7,0,12.4,8.95,1.5,305,7.67,56,344,32.3032223529412
"153",95.9,26.3,2.57,18.1,0,15.4,16,0.92,333,7.73,61,404,35.2319294117647
"154",66,43,2.4,1.2,1.1,70,1.09,9,342,7.08,91,712,56.3722276078431
"155",76,38,2.9,45,0.8,7,27,0.9,346,7.65,73,564,48.1440666666667
"156",46,61,7.6,81,0.4,21,88,1.1,366,7.4,104.6,744,53.8450039215686
"157",78,46,1.5,28,0.2,19,21,0.8,384,6.88,68.8,452,38.6831960784314
"158",83,43,0.9,80,0.2,28,69,12.1,384,7.15,93.4,640,50.8048078431373
"159",1,33.6,0.5,47.9,0.1,3.1,14.9,7.7,387.7,7.6,82,568,36.3954074509804
"160",60.7,44.9,7.83,84.9,0.16,53.5,69.3,1.22,392,7.8,63.5,341,40.7927109803922
"161",55.1,63.7,8.16,75.3,0.33,39.6,50.5,0.1,400,7.89,88,542,48.8550882352941
"162",74,73,2.8,83,0.1,43,1.56,0.3,485,7.55,116,744,53.4903935686275
"163",3.6,1.8,1.8,1.1,0.2,1.2,9.49,3.9,1640,7.09,392,3488,115.260548784314
"164",0,0,0,0,0.41,0,0,7,0,7.7,69.3,428,28.4976725490196
"165",92.1,39.2,2.4,50.3,0.2,5.3,18.3,14.2,0,7.35,93,610,48.778091372549
"166",45.6,29,3.08,41.6,0.19,9.42,31.9,4.84,233,8.34,54,334,34.3150345098039
"167",70.6,55.8,7.75,82.4,0.2,49.3,86.3,0.82,406,8.33,95,596,51.2415266666667
"168",43.2,23.04,1.4,1.17,1.8,49,81,2.1,204,7.45,85.5,547,52.4823264705882
"169",1.87,69.3,0.09,35.2,0.1,2.92,97.33,4.63,752,7.81,0,1126,55.1262681568627
"170",4.91,3.76,1.26,2.16,0.1,3.26,1.89,0,2774,7.53,760,5084,162.778247215686
"171",43.7,44.4,7.57,1.6,0.63,1.09,97.7,1.81,292,8.58,107,684,49.7391294117647
"172",47,22,1,60,0.7,19,49,0.1,208,7.1,50.8,352,36.709168627451
"173",60,18,1,20,0.3,18,11,0.4,224,7.4,43.4,262,29.1470705882353
"174",45,31,1.41,1.13,0.5,64,76,2.6,240,7.43,53.5,770,47.9090107843137
"175",49,29,1,67,0.44,31,59,0.1,242,7.5,60,386,37.6883490196078
"176",44,38,6.9,39,0.4,12,30,0.1,266,7.73,74.8,492,40.667662745098
"177",42,40,6.3,1.04,0.4,25,48,1.1,267,7.41,105.3,269,33.4904450980392
"178",50,35,3.9,70,0.5,17,53,13.2,269,7.7,86.6,550,48.1765725490196
"179",43,42,5.8,96,0.3,8,30,0.2,281,7.68,97,632,46.4158235294118
"180",60,32,1.9,45,0.3,10,75,38,282,7.58,90,604,53.4714117647059
"181",48.7,41.1,4.3,73.8,0.3,19.3,69.1,0.9,290.55,7.27,79,494,41.8153552941176
"182",71.6,29.76,1,44,0.78,10,12,3.7,296,7.1,71.8,430,42.3376352941176
