"","Ca","Mg","K","Na","Fl","SO4","Cl","NO3","TH","pH","EC","TDS","WQI"
"1",76,30,1.3,7.4,0.3,4,11.2,0.02,313,7.01,57.7,460,35.9915047058823
"2",60,40,1,15,0.2,4,16,0.45,315,7.21,65,524,37.5504549019608
"3",60,62,3.5,35,0.4,29,33,0.7,405,7.89,85.7,652,49.3842215686275
"4",24.6,16.9,2.2,22.5,0.2,2.7,5.7,1.8,131,8.39,31,180,24.3234537254902
"5",45.8,30.8,2.6,6.7,0.1,0.3,5.5,2,241,8.13,53,336,30.3888098039216
"6",35.5,38.9,0,3.3,0,2.1,5.8,4.3,249,7.71,61,362,29.7815070588235
"7",81.5,34.6,2.98,21.2,0.17,11.4,11.5,5.14,346,8.04,63,416,38.6589725490196
"8",99.8,33.3,0.4,12.2,0.29,12,19,7.01,358,7.74,79,553,44.288737254902
"9",77,33,3.2,23,0.2,3,16.3,5.6,328,7.22,65.5,488,39.4022560784314
"10",22,8,2.2,24,0.4,15,21,6.5,87.9,7.6,29.6,216,26.8574274509804
"11",79,36,1.4,15.9,0.1,2,17,6.8,345,7.41,70.5,480,38.6061450980392
"12",63,40.4,3.6,24.3,0.1,5.1,31.6,10.2,323.35,7.8,68,446,39.5282709803922
"13",77.3,49.2,1.88,7.32,0,7.73,13.87,10.23,395,8.11,422.5,426,43.2407581176471
"14",90,33,1.6,42,0.4,28,44,11.2,361,7.56,77.2,555,47.936862745098
"15",51.2,32.2,2.7,22.8,0.1,8.1,23.7,12.7,260.18,8.59,53,382,37.0866439215686
"16",75.6,37.2,4.2,44.8,0.5,3.3,22.4,14,341.63,7.36,72,474,46.1164525490196
"17",84.6,31.5,2.3,17.1,0.3,2.8,13.5,16.5,340.64,7.04,69,462,42.3644882352941
"18",46.3,28.3,3.7,22.6,0.1,11.3,24.5,18.3,231.92,8.47,55,386,38.1321098039216
"19",52.8,33.5,3.4,26.2,0.1,13.6,25.5,18.4,269.52,8.57,62,432,40.9749215686275
"20",43.4,30.8,1.2,4.1,0.1,1.4,7.8,5.3,235,8.39,56,364,31.8704403921569
"21",17.7,8.2,2.6,14.1,0.1,3.3,6.5,7.8,78,7.6,26,124,20.5801274509804
"22",12.6,6,2.5,15.6,0.1,0.7,2.5,4.3,56.12,7.7,21,108,18.4638392156863
"23",12.2,6.3,2.5,11.7,0.1,0.9,3.7,6.6,57,7.41,20,90,18.0662850980392
"24",14,6.1,2.8,13.6,0.1,0.7,2.5,4.7,60,7.59,21,102,18.3744862745098
"25",12,6.4,2.8,11.8,0,0,5,8.9,56,7.69,19,156,20.0357647058824
"26",18.6,8.9,1.8,19.6,0.1,1.4,14.6,15.3,83,7.11,28,246,25.7136298039216
"27",23,11.4,2.8,22.3,0.1,5.9,18.9,7.3,104,7.47,30,206,24.0661721568627
"28",10,5,3.2,11,0,0,5,4.5,45.52,7.4,17,136,17.5824705882353
"29",35.2,15.8,2,25.9,0.1,31.6,13,8.4,153,6.99,36,284,28.2767156862745
"30",14,5,3,133,0.4,165,80,0.06,56,7.45,69,443,41.5153098039216
"31",7.4,8.3,0.5,4.2,0.1,1.3,1.5,0.06,53,7.91,11,76,15.3986039215686
"32",5.5,3,1,5.5,0.1,1,5.1,0.02,26,5.65,7.67,62,11.4596880392157
"33",21,15.7,2.5,14.6,0.3,13,10.4,0.02,117,6.75,25,220,23.3803741176471
"34",46,13.2,1.5,8,0.3,13,7.3,0.02,169,6.7,30.2,267,25.8071482352941
"35",39.3,43.6,1.63,22.1,0.17,8.26,2.15,0.07,317,7.9,61,356,32.5517160784314
"36",29.2,22.8,4.5,11.9,0.1,48.5,2,0.1,166.63,7.21,50,352,29.1018215686275
"37",45,44,11.6,19,0.1,15.8,0,0.1,293.25,7.6,64.2,446,37.1630274509804
"38",40,57,7,10,0.2,5,5,0.1,336,8,58,374,35.8236078431373
"39",31.5,32.8,0.6,7.8,0.2,9.6,3.5,0.1,214,7.29,50,338,28.6653843137255
"40",2.3,3.3,0.5,2.6,0.1,0.7,1.6,0.2,20,7.16,5,12,11.5099356862745
"41",5.7,5.8,1.1,3.5,0.1,4.5,5.2,0.3,38.08,6.5,7.25,112,14.4405880392157
"42",310,27,5.5,231,1.5,1048,86,0.4,885,7.15,185,2110,160.885141176471
"43",10.5,20,0.8,4.5,0.1,0.2,2.1,0.4,109,6.7,20.4,278,21.3971415686275
"44",29,24,0.1,8.3,0.2,66,5.1,0.4,171,5.95,37.4,262,25.3256866666667
"45",72.6,13.4,3,107,0.6,64.5,18.8,0.5,237,7.29,86,530,46.3446776470588
"46",45.2,35.4,1.1,27.2,0.4,8.2,6.3,0.5,258.37,7.41,54,328,32.9531050980392
"47",83.9,37.3,1.6,21.6,0.2,13.6,8.7,0.5,362.75,7.21,67,430,37.2340949019608
"48",14.1,12.9,1.2,15,0.1,1.2,3.4,0.6,88,6.48,22,140,17.3790956862745
"49",21.8,6.56,1.57,9.33,0.1,11,4.81,0.64,81.5,7.17,18,118,17.6647788627451
"50",23,25,1.6,8.3,0.1,5.2,26,0.7,160.21,7.5,28.4,226,23.5571156862745
"51",31.7,39.7,0.5,2.5,0.1,2.3,4.2,0.9,242.38,7.86,56,346,29.3238380392157
"52",45,25.5,0,1.6,0,4.33,4.47,0.99,217,7.94,37,190,23.2087781176471
"53",15,16,3.2,30,0.1,20,0,1,103,6.47,36.6,250,22.9388745098039
"54",13.8,13.3,2.1,15.9,0.1,7,0,1,89,6.5,27,220,20.2605980392157
"55",8.7,7.8,1.9,5.6,0.1,0.2,5.2,1,54,6.5,12.4,142,16.1615380392157
"56",63.4,41.2,0.5,3.4,0.1,0.9,5.5,1,327.64,8.25,53,384,33.6110039215686
"57",4,85,3.6,7,0.1,2,4,1.1,359.58,8.59,64.2,455,37.6518039215686
"58",82,71,1.3,35,0.4,6,11.3,1.2,497,7.8,100.2,612,49.7122109803922
"59",41,23.2,0,1.2,0,3.02,3.66,1.39,198,8.04,36,186,22.6595778823529
"60",48,26,0,5,0,0,12,1.4,0,7.7,42.3,0,18.1414058823529
"61",18.8,9.21,1.53,13.1,0,2.66,6.74,1.42,89.8,7.48,23,148,18.221728
"62",64.8,39.4,0.5,2.6,0.1,0.8,5.1,1.5,323.73,7.53,60,428,33.9803592156863
"63",84,69,2.6,10.5,0.2,9,12.6,1.8,494,6.94,87.5,618,46.1879631372549
"64",58,38.2,0.6,2.9,0.2,6.7,5.5,1.8,302,8.6,52.4,338,33.3343784313726
"65",45,23,0,5,0,0,11,1.8,0,7.7,38.1,0,17.5960058823529
"66",70.4,41.3,0.5,2.7,0.1,1.8,4.8,1.9,345.51,7.9,59,488,36.951322745098
"67",56.9,41.1,1.5,5,0.1,0.6,4.7,2.1,311,8.37,54,346,32.7921380392157
"68",13,133,0.7,5.8,0.1,5.7,23.6,2.2,579.46,7.86,81,508,44.7302180392157
"69",6,4.7,0,16.1,0.2,5,13.3,2.4,34,6.6,11.79,34,14.2489931372549
"70",97.7,69.1,2.1,40.3,0.2,36,43.3,2.5,527.97,7.74,101,680,52.889597254902
"71",9.6,10.9,1.8,9.5,0.1,1,0,2.5,69,6.52,19.7,140,17.1951803921569
"72",2.3,139,0.8,5.9,0.1,3.5,7.6,2.5,577.45,7.77,86,546,45.4562474509804
"73",39.6,28.3,0,1.7,0,1.6,3.7,2.5,215,8.33,36,240,25.33234
"74",52,30,0,7,0,0,16,2.7,0,8.2,46.9,0,20.1378647058823
"75",35.7,38.7,0.5,2.5,0.1,3.7,3.7,2.9,248.24,8.11,54,374,31.2113674509804
"76",80,45,3.5,12.4,0.2,3,24,2.9,385,6.95,73.3,448,38.6268843137255
"77",36.3,17.1,1.5,8.5,0.1,3.2,3.3,3.3,161,7.11,32,240,23.9897698039216
"78",42,23,0,5,0,0,10,4.2,0,7.7,38.4,0,18.0201058823529
"79",80,72,0.2,15.5,0.4,4,13.9,4.9,496,6.94,83.7,622,48.5023898039216
"80",36.5,36.3,0.5,2.1,0.1,1.4,3.9,5.2,240.37,8.28,55,398,32.4404074509804
"81",56,58,5,15,0.3,5,4,5.3,380,7.45,69,440,40.5839764705882
"82",96,71,1.8,30,0.4,26,16.9,6.1,532,7.58,102.9,708,55.2799250980392
"83",56,31,0,6,0,0,18,6.3,0,7.7,51,0,20.9613058823529
"84",26,17.4,1,6.7,0.3,1,15,8.8,136,6.77,25.5,212,25.1631764705882
"85",57,43,0.5,16.9,0.1,9,13.3,11.5,319,7.45,69.3,496,39.5052698039216
"86",57,42,2.2,38,0.2,24,34,16,315,6.5,78.3,472,41.892531372549
"87",36,22,6.8,13.7,0.1,19,27,27.7,180,6.77,70,405,38.3454098039216
"88",33,21,3.2,0,0.2,44,8.8,0,169,6.7,34.2,276,26.1960149019608
"89",10,5,3.2,11,0,0,5,4.5,45.52,7.4,17,136,17.5824705882353
"90",35.2,15.8,2,25.9,0.1,31.6,13,8.4,153,6.99,36,284,28.2767156862745
"91",49,29,3,91,0,31,74,0.02,242,7.5,63.5,411,36.0457823529412
"92",60,31,0,1.26,0.7,43,91,41,278,6.95,120.5,900,64.5908509803922
"93",44,23,4.1,95,0.7,19,57,0.1,332,7.3,81.5,504,43.8812921568627
"94",76,38,2.9,45,0.8,7,27,0.9,346,7.65,73,564,48.1440666666667
"95",81,38,2.2,37,0.1,8,78,0.3,359,7.5,81.2,530,40.8570156862745
"96",62,50,2.1,74,0.2,34,2.1,1.6,381,7.44,124.3,824,52.3767219607843
"97",69,52,3.4,90,0.2,23,88,6,386,7.3,113.5,864,56.8618254901961
"98",92,54,3.6,82,0.2,12,1,13.6,452,7.05,104.6,768,56.3019960784314
"99",1,57,1.5,70,0.4,23,1.17,29.1,484,7.35,11.2,828,55.9404020392157
"100",80,42,4.1,18,0.4,3.8,20,0.4,0,6.95,82.1,512,41.7067509803922
"101",0,0,0,0,0.5,0,0,5.3,0,7.5,62.5,422,28.3600490196078
"102",30,23,5.8,1.28,0.3,53,1.94,0.02,170,7.55,91.1,600,38.8696162352941
"103",46.3,35.6,0.71,1.47,1.36,44.9,99.3,19.7,262,7.91,100,646,58.4922139215686
"104",70.4,54,6.86,73,0.15,38,81.9,1.02,376,7.84,91,554,47.6657623529412
"105",89.2,40.4,4,49.6,0.1,34.7,63.5,0.8,388.72,7.25,88,570,44.5746862745098
"106",60.7,44.9,9.44,91.3,0.21,45.9,76.3,0.96,401,7.74,90,566,48.2109305882353
"107",79.1,56.3,0,72.8,0.18,31,99.8,0.3,446,7.85,94,572,47.5045835294118
"108",73.5,69,1.23,49.4,0.16,34.74,1.54,0.3,467,7.98,0,666,48.4413001568627
"109",84.9,64.7,4.07,32.5,0.23,23.5,17.1,0.36,478,8,82,512,45.8649278431373
"110",35,20,2,40,0.3,4,45,13.6,170,7.2,43.4,362,34.6790470588235
"111",39,19,2.7,47,0.61,25,12,0.2,176,7.45,54.6,412,36.7015098039216
"112",37,24,1.4,52,0.4,13,16.8,40,191,7,53.7,482,47.2390168627451
"113",40,30,2.5,40,0.4,24,54,20,223,6.79,64.3,472,42.6894921568627
"114",67,21,4.9,37,0.31,25,18,0.02,254,6.9,67.9,464,37.3888450980392
"115",36,43,7.8,1.51,0.3,49,57,0.4,267,7.35,100.9,682,44.9920147058824
"116",47.3,37.2,0.84,89.9,1.91,34.2,17.5,0.54,271,8.15,80,520,57.8272254901961
"117",58.5,33.1,4.1,57.5,0.1,9.2,74.3,1,282.1,7.75,77,496,39.3872050980392
"118",67,30,6.2,53,0.6,25,75,0.02,290,7.55,74.6,580,47.0217882352941
"119",89.7,22.5,2.24,16.7,0,12.4,8.95,1.5,305,7.67,56,344,32.3032223529412
"120",95.9,26.3,2.57,18.1,0,15.4,16,0.92,333,7.73,61,404,35.2319294117647
"121",66,43,2.4,1.2,1.1,70,1.09,9,342,7.08,91,712,56.3722276078431
"122",76,38,2.9,45,0.8,7,27,0.9,346,7.65,73,564,48.1440666666667
"123",46,61,7.6,81,0.4,21,88,1.1,366,7.4,104.6,744,53.8450039215686
"124",78,46,1.5,28,0.2,19,21,0.8,384,6.88,68.8,452,38.6831960784314
"125",1,33.6,0.5,47.9,0.1,3.1,14.9,7.7,387.7,7.6,82,568,36.3954074509804
"126",55.1,63.7,8.16,75.3,0.33,39.6,50.5,0.1,400,7.89,88,542,48.8550882352941
"127",3.6,1.8,1.8,1.1,0.2,1.2,9.49,3.9,1640,7.09,392,3488,115.260548784314
"128",45.6,29,3.08,41.6,0.19,9.42,31.9,4.84,233,8.34,54,334,34.3150345098039
"129",70.6,55.8,7.75,82.4,0.2,49.3,86.3,0.82,406,8.33,95,596,51.2415266666667
"130",1.87,69.3,0.09,35.2,0.1,2.92,97.33,4.63,752,7.81,0,1126,55.1262681568627
"131",4.91,3.76,1.26,2.16,0.1,3.26,1.89,0,2774,7.53,760,5084,162.778247215686
"132",43.7,44.4,7.57,1.6,0.63,1.09,97.7,1.81,292,8.58,107,684,49.7391294117647
"133",47,22,1,60,0.7,19,49,0.1,208,7.1,50.8,352,36.709168627451
"134",45,31,1.41,1.13,0.5,64,76,2.6,240,7.43,53.5,770,47.9090107843137
"135",49,29,1,67,0.44,31,59,0.1,242,7.5,60,386,37.6883490196078
"136",44,38,6.9,39,0.4,12,30,0.1,266,7.73,74.8,492,40.667662745098
"137",50,35,3.9,70,0.5,17,53,13.2,269,7.7,86.6,550,48.1765725490196
"138",60,32,1.9,45,0.3,10,75,38,282,7.58,90,604,53.4714117647059
"139",71.6,29.76,1,44,0.78,10,12,3.7,296,7.1,71.8,430,42.3376352941176
"140",83.9,30.5,2.71,24.1,0.1,10.3,14,2.68,321,7.8,62,328,34.2848509803922
"141",91.2,25.1,1.8,33.5,0.1,13,70.7,0.5,330.78,7.14,73,472,37.8316733333333
"142",89.6,25.92,1.8,46,0.56,7,14,6.4,332,7.3,79,474,43.7999254901961
"143",85,42,2.5,78,0.28,47,51,4,336,7.1,101.6,656,50.551368627451
"144",59,47,2,45,0.5,17,27,0.2,341,7.1,80.7,479,41.9760019607843
"145",98.4,24.9,2.73,28.9,0.24,21.3,21.4,2.44,362,7.68,67,412,38.9419035294118
"146",69,46,3.1,29,0.5,15,24,3.1,362,7.15,81.3,516,44.0287078431373
"147",77,45,3,73,0.47,27,74,4.3,377,7.6,108,646,52.0437607843137
"148",76,48,0,93,0.6,21,1.76,36,388,6.88,132.6,1056,72.3688414117647
"149",78.2,49.8,3.6,54.9,0.4,24.1,1.23,19.8,400,7.54,105,704,56.3376563921569
"150",70,55,5.1,77,1.1,28,1.08,1,401,7.55,110.2,760,60.7135509019608
"151",62,44.4,4.64,64.5,0.15,18.9,23.5,0.5,422,7.71,77,476,40.9489470588235
"152",0,0,0,0,0,0,0,0,427,0,0,0,0
"153",98,45,3,1.21,2.18,1.45,89,1.6,431,7.6,123.8,878,71.6663107843137
"154",91,51,3,59,0.2,61,70,0.2,437,7.3,116.6,634,50.0673254901961
"155",97,49,2.7,52,0.3,4,1.27,14.9,444,7.2,102,744,55.0488710588235
"156",1.25,38,0.7,29,0.1,6,1.34,1.4,468,7.1,108.6,824,41.139176627451
"157",78.4,57.3,5.28,86,0.19,40.1,60.7,0.3,485,7.64,92,550,48.5376321568627
"158",1.91,12.6,1.7,37,0.1,4.3,29,8.8,528.37,6.1,35,324,24.9742509803922
"159",1.29,53.9,3.2,39.4,0.1,7.2,1.92,1,545,7.17,119,1050,50.6116608627451
"160",1.18,75,2.4,78,0.4,40,2.87,23,604,7.14,149.1,1180,68.6899773333333
"161",0,0,0,0,0,0,0,39.8,612,0,0,0,11.144
"162",99,93,2.6,1.13,0.4,75,2.19,5.6,629.51,7.9,131,904,64.633240745098
"163",37,48,6.5,88,0.3,16,48,1,290,7.76,95.5,620,46.9194529411765
"164",1.12,24.6,2.25,23,0.18,11.7,22.4,2.39,353,8.35,65,398,30.3018623529412
"165",89.8,72.3,9.8,2.06,0.97,3.65,1.6,2.75,522,8.21,160,1150,72.9527592156863
"166",36,23,2.8,38,0.2,6.2,35,10.2,184.42,7.3,47.1,384,34.0926254901961
"167",51,33,2,71,1.5,75,62,0.05,264,7.1,77.9,566,54.8865352941176
"168",46,40,6.5,1.12,0.3,33,68,0.8,280,7.6,106.6,592,42.6468941176471
"169",64,39,3.4,40,0.2,6,28,8.8,320,7.32,75.9,524,42.2781078431373
"170",91.2,23.04,0,61,0.87,23,20,5.1,324,7.4,79,506,47.9732705882353
"171",73,38,1,53,0.2,12,35,2.6,339,7.05,83.6,596,43.1607960784314
"172",63.8,46.2,1.08,16.4,0.2,13.34,26.84,0.3,349,8.07,0,414,36.3963640784314
"173",65,47,5.3,50,0.2,10,20,0.1,356,7.39,54.9,580,43.2810960784314
"174",78,47,5,80,0.4,74,1.06,0.6,388,7.5,86.3,567,49.6903876862745
"175",1.08,42.8,1.3,33.3,0.1,8.6,1.28,1.6,445,7.04,95,644,36.9215575686275
"176",1.61,95.7,2.6,1.09,0.2,25.8,4.12,26.8,795.31,7.28,203,1674,81.1320371372549
"177",4.46,3,2.99,1.45,0.1,2.58,1.46,158.42,2349,7.41,630,4368,185.747967098039
"178",65.6,29.76,0,50,1.49,10,31,13.5,288,7.8,72.8,418,52.0419843137255
"179",86.4,39.36,1.3,65,0.67,30,84,9.6,380,7.4,101,596,53.1628039215686
"180",33,14,0.8,51,0.4,4,4.2,2.7,141,7.46,48,348,31.4134909803922
"181",51,26,3.2,30,0.72,0,37,3.8,236,7.4,60.3,370,38.1481705882353
"182",36,60,7.3,52,0.3,12,25,1.9,337,8.04,98,532,44.6437058823529
"183",38,32,3,1.35,0.3,97,94,8,229,7.6,109,659,46.5678441176471
"184",44,32,2.3,1.43,0.6,61,96,2.7,242,7.55,110.9,965,55.5150382352941
